"product_category,product_subcategory"
"Accounting,_Tax_&_Compliance_Apps,Accounting_&_Tax-Preparation_Software"
"Accounting,_Tax_&_Compliance_Apps,Audit_&_Assurance_Tools"
"Accounting,_Tax_&_Compliance_Apps,Tax_&_Regulatory_Compliance_Software"
"Accounting,_Tax_&_Compliance_Apps,Audit_&_Internal_Controls_Tools"
"Content_&_Analytics,Business_Intelligence_&_Reporting"
"Infrastructure_&_Platform,Network_&_Security_Infrastructure"
"Infrastructure_&_Platform,Operating_Systems_&_Virtualization"
"Infrastructure_&_Platform,Database_&_File-Server"
"Infrastructure_&_Platform,Network_&_Security_Appliances"
"Infrastructure_&_Platform,Database_&_Data_Warehousing"
"Productivity_&_Collaboration,Web_Browsers_&_Plugins"
"Productivity_&_Collaboration,Email_&_Communication"
"Productivity_&_Collaboration,Productivity_&_Collaboration"
"Content_&_Analytics,Document_Management_&_Practice_Management"
"Content_&_Analytics,Document_Management_&_Workflow"
"Core_Business_Systems,ERP_&_Financial_Management_Systems"
"Core_Business_Systems,ERP_&_Billing"
